Sr No.,Utterance,Speaker,Emotion,Sentiment,Dialogue_ID,Utterance_ID,Season,Episode,StartTime,EndTime
4223,"""Well, it's right by my house, all right!""",Phoebe,anger,negative,431,13,5,2,"00:14:59,982","00:15:02,901"
4224,"Well, I'm gonna go home and bask in the triumph of my Central Park idea.",Chandler,anger,negative,431,14,5,2,"00:15:04,747","00:15:08,698"
4226,"Ho-ho-hold on a sec there, Mr. Kissey!",Rachel,surprise,negative,431,15,5,2,"00:15:09,867","00:15:11,951"
4227,"Y'know, I've been meaning to talk to you about this whole, little, new European thing you got going on, and I just need to tell you that it makes me very uncomfortable and I justy'knowstop it!",Rachel,anger,negative,431,16,5,2,"00:15:13,746","00:15:24,964"
4228,I was just trying to bring a little culture to the group.,Chandler,sadness,negative,431,17,5,2,"00:15:26,175","00:15:28,676"
4229,"That's fine, just don't bring it in my mouth.",Phoebe,disgust,negative,431,18,5,2,"00:15:29,011","00:15:31,763"
4230,Makes me wanna puke!,Monica,disgust,negative,431,19,5,2,"00:15:32,473","00:15:34,265"
4231,Is she in there?,Phoebe,neutral,neutral,432,0,2,24,"00:17:12,936","00:17:14,188"
4232,"Yeah. Shes putting her down now, thats her.",Ross,neutral,neutral,433,0,8,24,"00:17:14,563","00:17:16,899"
4233,Oh its all right.,Rachel,neutral,neutral,433,1,8,24,"00:17:17,065","00:17:18,066"
4234,Im guess Im just done with the whole dating thing.,Rachel,sadness,negative,434,0,8,5,"00:19:32,129","00:19:35,256"
4235,Its one more thing in my life thats suddenly completely different.,Rachel,sadness,negative,434,1,8,5,"00:19:35,799","00:19:40,261"
4236,This is hard.,Rachel,sadness,negative,434,2,8,5,"0:19:40,512","0:19:41,680"
4237,Yeah I know.,Ross,neutral,neutral,434,3,8,5,"0:19:41,680","0:19:44,006"
4238,"On the other hand in um, in about seven months youre gonna have something that youre gonna love more than any guy youve ever gone out with.",Ross,neutral,neutral,434,4,8,5,"00:19:46,351","00:19:57,278"
4239,Just wait.,Ross,neutral,neutral,434,5,8,5,"00:19:59,489","00:20:02,366"
4240,"Wait until uh, wait until the first time your baby grabs your finger.",Ross,joy,positive,434,6,8,5,"00:19:59,489","00:20:06,454"
4241,You have no idea.,Ross,joy,positive,434,7,8,5,"00:20:07,623","00:20:09,123"
4242,Thanks sweetie.,Rachel,neutral,neutral,434,8,8,5,"00:20:11,501","00:20:14,003"
4243,"You wanna, you wanna grab some coffee?",Ross,neutral,neutral,434,9,8,5,"0:20:17,841","0:20:19,593"
4244,"Oh no, I think Im gonna go home and eat ten candy bars.",Rachel,sadness,negative,434,10,8,5,"0:20:19,593","0:20:23,697"
4245,"Hey, I thought I cheered you up.",Ross,neutral,neutral,434,11,8,5,"00:20:23,889","00:20:25,848"
4246,"Oh you did, there are twenty in here.",Rachel,neutral,neutral,434,12,8,5,"00:20:23,889","00:20:28,601"
4247,Right. Good night.,Ross,neutral,neutral,434,13,8,5,"0:20:29,519","0:20:30,479"
4248,Good night.,Rachel,neutral,neutral,434,14,8,5,"0:20:30,479","0:20:32,003"
4249,Hi,Mrs. Geller,neutral,neutral,435,0,8,18,"00:05:06,627","00:05:09,922"
4250,Hi!  Hey mom.,Ross,joy,positive,435,1,8,18,"00:05:10,089","00:05:13,468"
4251,"This is such a great party! 35 years. Very impressive, do you guys have any pearls of wisdom?",Rachel,joy,positive,435,2,8,18,"00:05:10,089","00:05:18,806"
4252,Jack?,Mrs. Geller,surprise,positive,435,3,8,18,"0:05:19,307","0:05:20,017"
4253,Why would you serve food on such a sharp stick?,Mr. Geller,surprise,negative,435,4,8,18,"0:05:20,017","0:05:23,635"
4254,"Thats a good question, dad. Thats a good question",Ross,neutral,neutral,435,5,8,18,"00:05:24,312","00:05:27,815"
4256,Congratulations you two!,an,joy,positive,435,6,8,18,"0:05:29,567","0:05:31,789"
4257,Thank youwere so excited,Rachel,joy,positive,435,7,8,18,"0:05:31,789","0:05:34,005"
4258,"And also, congratulations on your wedding.",an,joy,positive,435,8,8,18,"00:05:34,155","00:05:36,574"
4259,WhaWhat?,Ross,surprise,positive,435,9,8,18,"00:05:37,408","00:05:38,576"
4260,Look at this clown!,Joey,joy,positive,436,0,7,3,"00:06:19,045","00:06:20,295"
4261,Just because hes got a bigger boat he thinks he can take up the whole river.,Joey,disgust,negative,436,1,7,3,"00:06:20,463","00:06:23,799"
4262,Get out of the way jackass!,Joey,anger,negative,436,2,7,3,"00:06:23,966","00:06:26,676"
4263,Who names their boat Coast Guard anyway?,Joey,disgust,negative,436,3,7,3,"00:06:28,429","00:06:31,056"
4264,That,Rachel,neutral,neutral,436,4,7,3,"00:06:33,810","00:06:36,812"
4265,What are they doing out here? The coasts all the way over there.,Joey,surprise,negative,436,5,7,3,"00:06:33,810","00:06:39,231"
4266,Hey!,Chandler,anger,negative,437,0,8,19,"00:06:34,061","00:06:36,397"
4267,Hey! Check it out! This is unbelievable! Joey has been holding his breath for almost four minutes!,Phoebe,surprise,positive,437,1,8,19,"00:06:34,061","00:06:39,858"
4268,Dude! What are yoyou trying to kill me?!,Joey,neutral,neutral,437,2,8,19,"00:06:45,489","00:06:47,28"
4269,Ow!,Monica,anger,negative,438,0,3,13,"00:18:36,740","00:18:38,199"
4270,"Really?! Well, its just like everyone elses apartment. Its got rooms, walls, and ceilings.",Richard,neutral,neutral,438,1,3,13,"00:18:39,034","00:18:45,540"
4271,"Well, I just wanted to see where you lived. Now, give me the tour.",Richards Date,neutral,neutral,438,2,3,13,"00:18:45,707","00:18:48,251"
4272,Oh my God! Oh my God!,Monica,surprise,negative,438,3,3,13,"00:18:48,418","00:18:50,503"
4273,"Ah well, this is the living room.",Richard,neutral,neutral,438,4,3,13,"00:18:50,671","00:18:52,880"
4275,All right. This is the kitchen.,Richard,neutral,neutral,438,5,3,13,"00:18:53,048","00:18:57,135"
4277,The bedroom. Well its pretty much your typical...  bedroom.,Richard,neutral,neutral,438,7,3,13,"00:18:59,346","00:19:03,391"
4278,Were still on this side of the door.,Richards Date,neutral,neutral,438,8,3,13,"0:19:07,229","0:19:08,781"
4279,Ha-ha,Joey,joy,positive,438,9,3,13,"0:19:08,781","0:19:09,534"
4280,"Yeah, but I didnt get to see it.",Richards Date,sadness,negative,438,10,3,13,"00:19:09,648","00:19:11,065"
4281,Oh shoot! Maybe next time.  Thanks for a lovely evening.,Richard,neutral,neutral,438,11,3,13,"00:19:11,233","00:19:15,778"
4282,"So um, who was she?",Monica,joy,positive,438,12,3,13,"00:19:33,630","00:19:35,506"
4283,"Oh,  that was the blind date that I told you about, she called and switched it to today.",Richard,neutral,neutral,438,13,3,13,"00:19:35,674","00:19:42,680"
4284,"Did you like her? And Im just asking as a friend, because I am totally fine with this.",Monica,neutral,neutral,438,14,3,13,"00:19:43,932","00:19:50,771"
4285,"Well, you seem fine.",Richard,neutral,neutral,438,15,3,13,"00:19:53,275","00:19:55,109"
4286,"Well, I dont think this, y'know.",Frank,neutral,neutral,439,0,3,5,"00:13:10,539","00:13:13,541"
4287,"No, no, no, I wouldnt do you myself, I mean that would be weird.",Phoebe,disgust,negative,439,1,3,5,"00:13:13,709","00:13:17,837"
4288,"Yeah, no, Ill get one of the other girls to do it.",Phoebe,neutral,neutral,439,2,3,5,"00:13:19,256","00:13:21,174"
4289,"Oh, this will be so much fun!",Phoebe,joy,positive,439,3,3,5,"0:13:21,342","0:13:22,764"
4290,Hey!,Phoebe,surprise,positive,439,4,3,5,"0:13:22,764","0:13:25,226"
4291,Are you excited?,Phoebe,joy,positive,439,5,3,5,"00:13:25,346","00:13:27,430"
4292,"Yeah! Hey, do Monica and Rachel work there?",Frank,neutral,neutral,439,6,3,5,"00:13:29,266","00:13:32,227"
4293,"Ok, so now we need, um sage branches and the sacramental wine.",Phoebe,neutral,neutral,440,0,1,14,"00:12:37,173","00:12:42,093"
4294,"All I have is, is oregano and a",Monica,neutral,neutral,440,1,1,14,"00:12:44,180","00:12:46,473"
4295,"Um, that's ok!  Ok. All right. Now we need the semen of a righteous man.",Phoebe,joy,positive,440,2,1,14,"00:12:46,891","00:12:56,941"
4296,"Ok, Pheebs, you know what, if we had that, we wouldn't be doing the ritual in the first place.",Rachel,neutral,neutral,440,3,1,14,"00:13:02,740","00:13:07,160"
4297,Can we just start throwing things in?,Monica,neutral,neutral,440,4,1,14,"00:13:08,871","00:13:12,332"
4298,"Ok, yeah, ok.  Oh, OK.",Phoebe,neutral,neutral,440,5,1,14,"00:13:12,500","00:13:15,210"
4299,"Ok, Barry's letters. Adam Ritter's boxer shorts.",Rachel,neutral,neutral,440,6,1,14,"00:13:16,003","00:13:21,633"
4300,"Ok, and I have the, uh receipt for my dinner with Nokululu Oon Ah Ah.",Phoebe,neutral,neutral,440,7,1,14,"00:13:21,884","00:13:25,929"
4301,"Look, here's a picture of Scotty Jared naked.",Monica,neutral,neutral,440,8,1,14,"00:13:30,059","00:13:33,353"
4302,Hey he's wearing a sweater.,Rachel,surprise,positive,440,9,1,14,"00:13:33,729","00:13:35,188"
4303,No.,Monica,neutral,neutral,440,10,1,14,"0:13:35,397","0:13:35,981"
4304,Eww!,Rachel and Phoebe,disgust,negative,440,11,1,14,"0:13:35,981","0:13:37,458"
4305,And here we have the last of Paulo's grappa.,Rachel,neutral,neutral,440,12,1,14,"00:13:41,111","00:13:44,906"
4306,"Hey, Rachel, isn't that stuff almost pure...",Monica,neutral,neutral,440,13,1,14,"00:13:45,157","00:13:46,658"
4307,"Mona?  Okay, if I were a salmon shirt, where would I be?",Ross,neutral,neutral,441,0,8,17,"00:10:59,325","00:11:02,786"
4308,I am so sorry I spilled wine all over your shirt.,Mona,sadness,negative,441,1,8,17,"00:11:10,086","00:11:13,505"
4309,"Oh, its okay.",Mona's Date,neutral,neutral,441,2,8,17,"0:11:13,673","0:11:15,345"
4310,"No, its still wet.",Mona,joy,positive,441,3,8,17,"0:11:15,345","0:11:16,682"
4312,Let me get it out before it sets.,Mona,neutral,neutral,441,4,8,17,"0:11:16,801","0:11:18,470"
4313,"Ooh, I have something you can wear.",Mona,neutral,neutral,441,5,8,17,"0:11:18,470","0:11:20,915"
4314,Here.,Mona,neutral,neutral,441,6,8,17,"00:11:24,225","00:11:26,393"
4315,"Oh umm, I-I dont know if I want to wear a womans shirt.",Mona's Date,sadness,negative,441,7,8,17,"00:11:26,977","00:11:28,853"
4316,No-no thats a mans shirt.,Mona,neutral,neutral,441,8,8,17,"0:11:31,524","0:11:33,026"
4317,Its awfully pink.,Mona's Date,neutral,neutral,441,9,8,17,"0:11:33,026","0:11:34,063"
4318,"Oh, it's perfect!",Joey,joy,positive,442,0,5,7,"00:14:04,677","00:14:07,387"
4319,How about you?,Ross,neutral,neutral,442,1,5,7,"00:14:10,850","00:14:12,559"
4320,It's a kitchen slash bathroom.,Chandler,neutral,neutral,442,2,5,7,"00:14:12,726","00:14:15,311"
4321,"All right, I see what you guys are saying. I'll uh, I'll go downstairs and fill out an application.",Ross,neutral,neutral,442,3,5,7,"00:14:18,274","00:14:24,028"
4322,We are bad people.,Chandler,disgust,negative,442,4,5,7,"00:14:28,492","00:14:30,618"
4323,He knew we were trying to get rid of him. He knew!  You think we could get a bathtub in our kitchen?,Joey,surprise,negative,442,5,5,7,"00:14:31,453","00:14:39,127"
4325,Lets get the show on it!,Monica,joy,positive,443,0,3,17,"00:01:44,145","00:01:47,648"
4326,"Okay, let me just get a cup of coffee.",Rachel,neutral,neutral,443,1,3,17,"00:01:47,899","00:01:48,899"
4327,"Oh Rachel, I know the best coffee house and its sooo close.",Monica,neutral,neutral,443,2,3,17,"00:01:49,067","00:01:51,151"
4328,Closer than here?,Rachel,neutral,neutral,443,3,3,17,"00:01:51,820","00:01:52,861"
4329,"Oh, hey, look, I found coffee!  Okay, lets skedaddle.",Phoebe,neutral,neutral,443,4,3,17,"00:01:53,655","00:01:57,449"
4330,"Wait, Im not just gonna drink somebodys old coffee.",Rachel,neutral,neutral,443,5,3,17,"00:01:57,659","00:02:00,160"
4331,"Okay, your highness.",Phoebe,neutral,neutral,443,6,3,17,"00:02:00,370","00:02:01,995"
4332,"Um, Rachel Im really sorry.  Thats okay, do you wanna get back together?  Yeah, okay.  Did anyone else hear that?!",Phoebe,surprise,positive,443,7,3,17,"00:02:09,754","00:02:17,886"
4333,So how did you know I was even here?,Lydia,surprise,positive,444,0,1,23,"00:13:25,888","00:13:29,390"
4334,Your mom called me. So is this her?,Guy,neutral,neutral,444,1,1,23,"00:13:25,888","00:13:31,726"
4335,"No, this is a loaner.",Lydia,neutral,neutral,444,2,1,23,"00:13:31,894","00:13:33,645"
4336,I'm sorry you had to do this by yourself.,Guy,neutral,neutral,444,3,1,23,"00:13:35,606","00:13:37,899"
4337,"I wasn't by myself. I had a doctor, a nurse, and a helper guy.  So, did you see who won the game?",Lydia,neutral,neutral,444,4,1,23,"00:13:38,067","00:13:47,242"
4338,"Yeah, the Knicks by 10. They suck.",Guy,neutral,neutral,444,5,1,23,"00:13:47,409","00:13:50,954"
4339,"Yeah, they're not so bad.",Lydia,neutral,neutral,444,6,1,23,"00:13:51,664","00:13:53,915"
4340,"Im sorry I wont be able to make it to your imaginary wedding, but Im",Phoebe,neutral,neutral,445,0,8,8,"00:07:46,632","00:07:49,176"
4341,"I know. I know. I panicked, I panicked. I didnt want him to start yelling at me like I was some 74 Latour.",Rachel,surprise,negative,445,1,8,8,"00:08:00,313","00:08:07,110"
4342,Its Lafite. The 74 Latour is actually drinking quite nicely.,Phoebe,sadness,negative,445,2,8,8,"00:08:07,361","00:08:12,991"
4343,"All right here he comes. Im gonna do this, Im gonna tell him, Im gonna be strong.",Rachel,fear,negative,445,3,8,8,"00:08:14,911","00:08:18,246"
4344,I just called a friend of mine.,Dr. Green,neutral,neutral,445,4,8,8,"0:08:18,915","0:08:20,417"
4345,Yeah?,Rachel,surprise,positive,445,5,8,8,"0:08:20,417","0:08:21,283"
4346,I think I may be able to book,Dr. Green,neutral,neutral,445,6,8,8,"00:08:21,375","00:08:24,461"
4347,Really?!,Rachel,surprise,positive,445,7,8,8,"00:08:26,631","00:08:28,298"
4348,What is it sweetie?,Dr. Green,joy,positive,445,8,8,8,"00:08:33,846","00:08:37,724"
4349,Theres not gonna be a wedding. Ross and I are not getting married.,Rachel,sadness,negative,445,9,8,8,"00:08:39,435","00:08:42,312"
4351,Im sorry daddy.,Rachel,sadness,negative,445,10,8,8,"0:08:42,522","0:08:43,794"
4352,I dont believe this!!,Dr. Green,neutral,neutral,445,11,8,8,"0:08:43,794","0:08:44,998"
4353,"Oh now daddy, stay calm. Please.",Rachel,fear,negative,445,12,8,8,"0:08:45,149","0:08:46,331"
4354,Stay calm?!!,Dr. Green,anger,negative,445,13,8,8,"0:08:46,331","0:08:46,537"
4355,How do you expect me to stay calm?!,Dr. Green,anger,negative,445,14,8,8,"00:08:46,651","00:08:48,777"
4356,This is unacceptable Rachel!,Dr. Green,anger,negative,445,15,8,8,"0:08:48,945","0:08:50,697"
4357,And I wanna know why?!!,Dr. Green,anger,negative,445,16,8,8,"0:08:50,697","0:08:52,914"
4358,Is it because that punk Ross wont marry you?!,Dr. Green,anger,negative,445,17,8,8,"00:08:53,074","00:08:55,450"
4359,Thats it!,Dr. Green,anger,negative,445,18,8,8,"0:08:55,618","0:08:56,286"
4360,Is that it?,Dr. Green,anger,negative,445,19,8,8,"0:08:56,286","0:08:58,975"
4362,"Yes. Yes, he says Im damaged goods.",Rachel,sadness,negative,445,20,8,8,"00:08:55,618","00:08:58,912"
4363,"So, youre like a zillionaire?",Phoebe,surprise,positive,446,0,3,19,"00:09:44,750","00:09:46,626"
4364,And youre our age. Youre our age.,Chandler,surprise,positive,446,1,3,19,"00:09:48,421","00:09:50,755"
4365,"Y'know what, you should like, you should buy a state and then just name it after yourself.",Phoebe,neutral,neutral,446,2,3,19,"00:09:51,465","00:09:56,553"
4366,What like Pete Dakota?,Pete,neutral,neutral,446,3,3,19,"00:09:57,138","00:09:58,513"
4367,"Yeah, or, or, or, Mississ-Pete.",Phoebe,neutral,neutral,446,4,3,19,"00:10:00,182","00:10:01,850"
4368,"Oh, oh, I got it! Pete-Chicago.",Joey,neutral,neutral,446,5,3,19,"00:10:03,436","00:10:06,688"
4369,Thats not a state Joe.,Chandler,neutral,neutral,446,6,3,19,"00:10:08,316","00:10:10,275"
4370,"Oh, and Mississ-Pete is?",Joey,neutral,neutral,446,7,3,19,"00:10:10,693","00:10:13,111"
4371,"I got to go, so ah, Ill see you guys later.",Pete,neutral,neutral,446,8,3,19,"00:10:15,197","00:10:18,533"
4372,Okay.,All,neutral,neutral,446,9,3,19,"0:10:18,701","0:10:20,473"
4373,Youre our age!,Chandler,surprise,positive,446,10,3,19,"0:10:20,473","0:10:21,091"
4374,"So ah, we on for tomorrow?",Pete,neutral,neutral,446,11,3,19,"00:10:22,997","00:10:24,956"
4375,Absolutely!,Monica,joy,positive,446,12,3,19,"00:10:25,124","00:10:26,791"
4376,Now get out of here you!!,Monica,joy,positive,446,13,3,19,"00:10:28,336","00:10:30,670"
4377,"Okay, Im running out of places I can touch him!",Monica,anger,negative,446,14,3,19,"00:10:36,719","00:10:39,804"
4378,"Look, is there something wrong with me?",Monica,sadness,negative,446,15,3,19,"00:10:40,473","00:10:42,057"
4379,I mean why am I only attracted to guys where theres no future?,Monica,sadness,negative,446,16,3,19,"00:10:42,224","00:10:45,018"
4380,"Either theyre too old, or theyre too young, and then theres Pete whos-whos crazy about me, and whos absolutely perfect for me, and theres like zip going on!",Monica,sadness,negative,446,17,3,19,"00:10:45,186","00:10:53,735"
4381,"I mean, seriously, does it sound like somethings wrong with me?",Monica,sadness,negative,446,18,3,19,"00:10:53,986","00:11:03,912"
4383,No.,Ross and Joey,neutral,neutral,446,19,3,19,"00:09:03,042","00:09:04,709"
4384,"Okay, Im gonna go get Frank.",Phoebe,neutral,neutral,447,0,3,18,"00:09:05,503","00:09:07,504"
4385,"So, were walking down the street and I turn to you and I say, Hey, lets go hang out at Totally Nude Nudes, remember?",Joey,neutral,neutral,447,1,3,18,"00:09:10,174","00:09:16,930"
4386,"And then, and then, you turn to me and say, Nah, lets just hang out at your place. Well, that was a nice move dumb ass.",Joey,joy,positive,447,2,3,18,"00:09:17,098","00:09:23,353"
4387,"Yeah, I think it was better when you guys were sad. Hey, uh, remember the roller blades?",Phoebe,neutral,neutral,448,0,6,6,"00:10:06,689","00:10:12,986"
4388,You know what else Im not gonna miss?,Rachel,anger,negative,448,1,6,6,"0:10:14,822","0:10:16,783"
4389,"""Im Monica.",Rachel,anger,negative,448,2,6,6,"0:10:16,783","0:10:17,392"
4390,I wash the toilet 17 times a day.,Rachel,anger,negative,448,3,6,6,"0:10:17,491","0:10:19,160"
4391,"Even if people are on it!""",Rachel,anger,negative,448,4,6,6,"0:10:19,160","0:10:20,934"
4392,"""Hi Im Rachel, is my sweater too tight? No? Oh, Id better wash it and shrink it!""",Monica,anger,negative,448,5,6,6,"00:10:22,163","00:10:27,542"
4393,"""Im Monica, I dont get phone messages from interesting people. Ever!""",Rachel,anger,negative,448,6,6,6,"00:10:28,419","00:10:31,963"
4394,Hey! I call her!,Phoebe,joy,positive,448,7,6,6,"00:10:32,131","00:10:33,632"
4395,"""Oh my God, I love Ross! I hate Ross! I love Ross! I hate Ross!""",Monica,anger,negative,448,8,6,6,"00:10:34,842","00:10:40,388"
4396,"""Oh my God, I cant find a boyfriend!",Rachel,anger,negative,448,9,6,6,"00:10:41,307","00:10:43,099"
4397,"So I guess Ill just stumble across the hall and sleep with the first guy I find in there!""",Rachel,anger,negative,448,10,6,6,"00:10:43,351","00:10:47,520"
4398,"Yeah, we should get a move on if we wanna make those dinner reservations.",Phoebe,neutral,neutral,448,11,6,6,"00:10:53,235","00:10:57,405"
4399,"Item J437-A, color: winterberry.",Ross,neutral,neutral,449,0,8,17,"00:20:34,942","00:20:41,864"
4400,"Hi umm, listen come here, come in.",Ross,neutral,neutral,449,1,8,17,"00:20:49,456","00:20:52,166"
4401,Im so-so sorry about yesterday.,Ross,sadness,negative,449,2,8,17,"00:20:52,334","00:20:55,044"
4402,I-Im really sorry.,Ross,sadness,negative,449,3,8,17,"0:20:55,796","0:20:56,678"
4403,Its just that I,Ross,joy,positive,449,4,8,17,"0:20:56,678","0:20:57,973"
4404,"Listen Ross, you dont have to apologize. I understand why you were there.",Mona,neutral,neutral,449,5,8,17,"00:20:58,090","00:21:02,802"
4405,You do?,Ross,surprise,positive,449,6,8,17,"0:21:03,136","0:21:03,929"
4406,"Yeah, you still have feelings for me.",Mona,sadness,negative,449,7,8,17,"0:21:03,929","0:21:06,071"
4407,"And-and to be honest, I-I still have feelings for you.",Mona,joy,positive,449,8,8,17,"00:21:06,181","00:21:10,268"
4408,"And I wish that we can work it out Ross, but we cant.",Mona,sadness,negative,449,9,8,17,"00:21:10,435","00:21:12,895"
4409,"Its too complicated with you and Rachel and the baby, I-I just It just wasnt meant to be.",Mona,sadness,negative,449,10,8,17,"00:21:13,063","00:21:20,444"
4410,Oh God youre right.,Ross,joy,positive,449,11,8,17,"00:21:22,281","00:21:24,115"
4411,"Ross, wewe have to be strong. Okay, I-Im gonna go.  Can I? To remember you?",Mona,sadness,negative,449,12,8,17,"00:21:31,623","00:21:39,797"
4412,No.,Ross,neutral,neutral,449,13,8,17,"00:21:44,011","00:21:45,761"
4413,"Im telling you, if you want to take care of that thing, you should go to my herbal guy.",Phoebe,neutral,neutral,450,0,3,23,"00:13:06,410","00:13:10,205"
4414,"Thank you, but I want to remove it Pheebs. I dont want to make it savory.",Ross,neutral,neutral,450,1,3,23,"00:13:10,748","00:13:15,043"
4415,"Y'know when girls sleep with guys with weird things on their body, they tell their friends about it.",Monica,neutral,neutral,450,2,3,23,"00:13:16,253","00:13:22,300"
4416,Gimme this.,Ross,neutral,neutral,450,3,3,23,"00:13:23,052","00:13:24,511"
4417,"Hi! Okay, dont be mad at me, but I couldnt resist.",Rachel,neutral,neutral,450,4,3,23,"00:13:27,389","00:13:31,392"
4418,Brides magazines?,Monica,surprise,positive,450,5,3,23,"00:13:31,560","00:13:32,727"
4419,"Yes, and I know that youd say no if he asked you, but Im sorry; how great would you look walking down the aisle in this Donna Carin.",Rachel,neutral,neutral,450,6,3,23,"00:13:32,895","00:13:41,236"
4420,"Oh, you so would! Oh, you should get that anyway.  Like for clubbing.",Phoebe,sadness,negative,450,7,3,23,"00:13:41,904","00:13:49,869"
4421,"It is so weird, I know what I said, but uh, this morning, I was lying in bed I was, I was imagining what it would be like to say yes.",Monica,surprise,positive,450,8,3,23,"00:13:51,038","00:13:59,254"
4422,"I know its a little sudden, and its a little rushed, and its totally not like me to do something like this, but that doesnt mean I cant.",Monica,joy,positive,450,9,3,23,"00:14:02,341","00:14:11,432"
4423,Right?,Monica,joy,positive,450,10,3,23,"00:14:08,347","00:14:11,432"
4424,"I mean Im-Im crazy about Pete, and I know that we want the same things, and when I thought about saying yes, it made me really happy.",Monica,joy,positive,450,11,3,23,"00:14:11,600","00:14:18,815"
4425,Oh my God.,Rachel,surprise,positive,450,12,3,23,"00:14:20,985","00:14:22,777"
4426,I know.  I need more pie.,Monica,neutral,neutral,450,13,3,23,"00:14:24,196","00:14:27,866"
4427,"Hey Mon umm, if you do get married, can I bring two guests?",Phoebe,neutral,neutral,450,14,3,23,"00:14:30,119","00:14:33,955"
4428,You didnt break up with that fireman?,Rachel,surprise,negative,450,15,3,23,"00:14:36,959","00:14:38,960"
4429,"No, that was my way of telling you.",Phoebe,neutral,neutral,450,16,3,23,"00:14:39,128","00:14:41,045"
4430,"Well, it turns out hes incredibly sensitive, he keeps a journal and he paints.",Phoebe,neutral,neutral,450,17,3,23,"00:14:42,131","00:14:47,051"
4431,He even showed me charcoal drawings that he drew of me.,Phoebe,neutral,neutral,450,18,3,23,"00:14:47,219","00:14:49,429"
4432,Wow!,Rachel,surprise,positive,450,19,3,23,"00:14:49,597","00:14:50,638"
4433,"Yeah, well hed prefer water colors, but y'know, he has easy access to a lot of charcoal.",Phoebe,neutral,neutral,450,20,3,23,"00:14:50,806","00:14:54,851"
4434,"So then, are you going to dump Jason?",Monica,neutral,neutral,450,21,3,23,"00:14:57,813","00:14:59,355"
4435,"Well, yeah, because I have to break up with someone, and Okay so Jason is sensitive,  but now sos Vince  Plus, Vince has the body y'know?",Phoebe,neutral,neutral,450,22,3,23,"00:14:59,523","00:15:09,574"
4436,So Its really just about the math.,Phoebe,neutral,neutral,450,23,3,23,"00:15:09,742","00:15:15,371"
4437,"Ok, so it's a tie again, 41 to 41.",Mike,neutral,neutral,451,0,9,23,"00:43:49,376","00:43:51,836"
4438,"Ok, look! Enough is enough!",Chandler,anger,negative,451,1,9,23,"00:43:53,797","00:43:56,758"
4439,"No, I have just to have two more points to beat him!",Monica,joy,positive,451,2,9,23,"0:43:56,925","0:43:58,886"
4440,"Monica, that was also true an",Chandler,neutral,neutral,451,3,9,23,"0:43:58,886","0:44:01,287"
4441,I can't just walk away! I've put in four hours!,Monica,anger,negative,451,4,9,23,"00:44:20,366","00:44:23,159"
4444,You knew this about me when you married me!,Monica,neutral,neutral,451,5,9,23,"00:44:23,702","00:44:26,079"
4445,You agreed to take me in sickness and in health.,Monica,neutral,neutral,451,6,9,23,"00:44:26,246","00:44:29,207"
4446,"Well, this is my sickness!",Monica,anger,negative,451,7,9,23,"00:44:29,375","00:44:31,668"
4447,"Oh yeah-yeah, the lobster.",Joey,neutral,neutral,452,0,8,12,"00:15:58,749","00:16:01,542"
4448,"Yeah, I mean I was up sick all night.",Rachel,neutral,neutral,452,1,8,12,"0:16:01,710","0:16:05,089"
4449,"Yeah me too, all night.",Joey,neutral,neutral,452,2,8,12,"0:16:05,089","0:16:05,409"
4450,Really?! How come we didnt cross paths?,Rachel,surprise,positive,452,3,8,12,"00:16:05,506","00:16:08,049"
4451,"Yeah well thats because uhI stayed in my room. Yeah, you dont want to look in my hamper.",Joey,neutral,neutral,452,4,8,12,"00:16:08,217","00:16:17,475"
4452,I cant believe there is a naked hooker in there!,Chandler,surprise,negative,453,0,8,8,"00:12:20,489","00:12:23,199"
4453,Wait! Wait! Maybe shes a hooker,Joey,surprise,positive,453,1,8,8,"00:12:23,367","00:12:26,828"
4454,"Yeah, okay lets leave these two alone.",Phoebe,neutral,neutral,454,0,8,11,"00:15:31,013","00:15:33,348"
4455,"No! I do not care what my hormones are doing, I am not going to just do it with some random guy!",Rachel,disgust,negative,454,1,8,11,"00:15:33,515","00:15:43,483"
4456,Fine! Then you tell Roger because he was really looking forward to this!,Phoebe,anger,negative,454,2,8,11,"00:15:39,730","00:15:43,483"
4457,So.,Julie,neutral,neutral,455,0,2,2,"0:19:20,784","0:19:21,206"
4458,So.,Rachel,neutral,neutral,455,1,2,2,"0:19:21,206","0:19:23,132"
4459,I just thought the two of us should hang out for a bit.,Rachel,neutral,neutral,455,2,2,2,"00:19:59,823","00:20:02,241"
4460,"I mean, you know, we've never really talked.",Rachel,neutral,neutral,455,3,2,2,"00:20:02,409","00:20:05,203"
4461,"I guess you'd know that, being one of the two of us, though, right?",Rachel,neutral,neutral,455,4,2,2,"00:20:05,370","00:20:08,623"
4462,"I know, I probably shouldn't even tell you this, but I'm pretty much totally intimidated by you.",Julie,fear,negative,455,5,2,2,"00:20:08,790","00:20:17,632"
4463,Really? Me?,Rachel,surprise,positive,455,6,2,2,"00:20:18,675","00:20:21,135"
4465,"Oh my god, are you kidding?",Julie,surprise,positive,455,7,2,2,"00:20:21,303","00:20:23,179"
4466,"Ross is so crazy about you, and I really wanted you to like me, and, it's probably me being totally paranoid, but I kinda got the feeling that maybe you don't.",Julie,anger,negative,455,8,2,2,"00:20:23,347","00:20:31,604"
